x1,y1,z1
10.0,1.40883900353e-14,1.7763568394e-15
10.0,-3.43233346939,2.05404162407
8.0,-3.43233346939,2.05404162407
8.0,1.42108547152e-14,1.7763568394e-15
10.0,-16.9323329926,16.8103961945
8.0,-16.9323329926,16.8103961945
10.0,-16.9323329926,22.8103961945
8.0,-16.9323329926,22.8103961945
8.0,-11.694896698,17.5729598999
10.0,-11.694896698,17.5729598999
8.0,5.71734714508,15.5426292419
10.0,5.71734714508,15.5426292419
8.0,0.124499604106,4.1908326149
10.0,0.124499604106,4.1908326149
10.0,3.06766653061,22.8103961945
8.0,3.06766653061,22.8103961945
8.0,8.21616649628,13.7293338776
10.0,8.21616649628,13.7293338776
10.0,-1.14411115646,0.684680581093
10.0,-2.28822231293,1.36936116219
8.0,-2.28822231293,1.36936116219
8.0,-1.14411115646,0.684680581093
10.0,-4.47079515457,3.18914580345
10.0,-5.50925636292,4.32425022125
10.0,-6.5477180481,5.45935440063
10.0,-7.58617973328,6.59445858002
10.0,-8.62464141846,7.7295627594
10.0,-9.66310310364,8.86466693878
10.0,-10.7015638351,9.99977111816
10.0,-11.7400255203,11.1348752975
10.0,-12.7784872055,12.2699794769
10.0,-13.8169488907,13.4050836563
10.0,-14.8554105759,14.5401878357
10.0,-15.893872261,15.6752920151
8.0,-15.893872261,15.6752920151
8.0,-14.8554105759,14.5401878357
8.0,-13.8169488907,13.4050836563
8.0,-12.7784872055,12.2699794769
8.0,-11.7400255203,11.1348752975
8.0,-10.7015638351,9.99977111816
8.0,-9.66310310364,8.86466693878
8.0,-8.62464141846,7.7295627594
8.0,-7.58617973328,6.59445858002
8.0,-6.5477180481,5.45935440063
8.0,-5.50925636292,4.32425022125
8.0,-4.47079515457,3.18914580345
10.0,-16.9323329926,18.3103961945
10.0,-16.9323329926,19.8103961945
10.0,-16.9323329926,21.3103961945
8.0,-16.9323329926,21.3103961945
8.0,-16.9323329926,19.8103961945
8.0,-16.9323329926,18.3103961945
8.0,-11.1823329926,18.8103961945
8.0,-11.694896698,20.047832489
8.0,-12.9323329926,20.5603961945
8.0,-14.1697702408,20.047832489
8.0,-14.6823329926,18.8103961945
8.0,-14.1697702408,17.5729598999
8.0,-12.9323329926,17.0603961945
10.0,-12.9323329926,17.0603961945
10.0,-14.1697702408,17.5729598999
10.0,-14.6823329926,18.8103961945
10.0,-14.1697702408,20.047832489
10.0,-12.9323329926,20.5603961945
10.0,-11.694896698,20.047832489
10.0,-11.1823329926,18.8103961945
8.0,6.41880083084,16.9193096161
8.0,6.17709636688,18.4453716278
8.0,5.08455610275,19.5379123688
8.0,3.55849385262,19.7796173096
8.0,2.18181300163,19.078163147
8.0,1.48035907745,17.7014827728
8.0,1.72206366062,16.1754207611
8.0,2.81460380554,15.0828800201
8.0,4.3406662941,14.8411750793
10.0,4.3406662941,14.8411750793
10.0,2.81460380554,15.0828800201
10.0,1.72206366062,16.1754207611
10.0,1.48035907745,17.7014827728
10.0,2.18181300163,19.078163147
10.0,3.55849385262,19.7796173096
10.0,5.08455610275,19.5379123688
10.0,6.17709636688,18.4453716278
10.0,6.41880083084,16.9193096161
8.0,0.563839435577,5.25149250031
8.0,0.124499604106,6.31215286255
8.0,-0.936160564423,6.75149250031
8.0,-1.99682068825,6.31215286255
8.0,-2.43616056442,5.25149250031
