x1,y1,z1,x2,y2,z2
2.0,1.40883900353e-14,1.7763568394e-15,10.0,1.40883900353e-14,1.7763568394e-15
2.0,-3.43233346939,2.05404162407,10.0,-3.43233346939,2.05404162407
-2.10169809845e-16,-3.43233346939,2.05404162407,8.0,-3.43233346939,2.05404162407
8.70163887006e-31,1.42108547152e-14,1.7763568394e-15,8.0,1.42108547152e-14,1.7763568394e-15
2.0,-16.9323329926,16.8103961945,10.0,-16.9323329926,16.8103961945
-1.03680637007e-15,-16.9323329926,16.8103961945,8.0,-16.9323329926,16.8103961945
2.0,-16.9323329926,22.8103961945,10.0,-16.9323329926,22.8103961945
-1.03680637007e-15,-16.9323329926,22.8103961945,8.0,-16.9323329926,22.8103961945
-7.16105890378e-16,-11.694896698,17.5729598999,8.0,-11.694896698,17.5729598999
2.0,-11.694896698,17.5729598999,10.0,-11.694896698,17.5729598999
3.50086544042e-16,5.71734714508,15.5426292419,8.0,5.71734714508,15.5426292419
2.0,5.71734714508,15.5426292419,10.0,5.71734714508,15.5426292419
7.62340208317e-18,0.124499604106,4.1908326149,8.0,0.124499604106,4.1908326149
2.0,0.124499604106,4.1908326149,10.0,0.124499604106,4.1908326149
2.0,3.06766653061,22.8103961945,10.0,3.06766653061,22.8103961945
1.87840399878e-16,3.06766653061,22.8103961945,8.0,3.06766653061,22.8103961945
5.03095100046e-16,8.21616649628,13.7293338776,8.0,8.21616649628,13.7293338776
2.0,8.21616649628,13.7293338776,10.0,8.21616649628,13.7293338776
2.0,-1.14411115646,0.684680581093,10.0,-1.14411115646,0.684680581093
2.0,-2.28822231293,1.36936116219,10.0,-2.28822231293,1.36936116219
-1.40113206563e-16,-2.28822231293,1.36936116219,8.0,-2.28822231293,1.36936116219
-7.00566032816e-17,-1.14411115646,0.684680581093,8.0,-1.14411115646,0.684680581093
2.0,-4.47079515457,3.18914580345,10.0,-4.47079515457,3.18914580345
2.0,-5.50925636292,4.32425022125,10.0,-5.50925636292,4.32425022125
2.0,-6.5477180481,5.45935440063,10.0,-6.5477180481,5.45935440063
2.0,-7.58617973328,6.59445858002,10.0,-7.58617973328,6.59445858002
2.0,-8.62464141846,7.7295627594,10.0,-8.62464141846,7.7295627594
2.0,-9.66310310364,8.86466693878,10.0,-9.66310310364,8.86466693878
2.0,-10.7015638351,9.99977111816,10.0,-10.7015638351,9.99977111816
2.0,-11.7400255203,11.1348752975,10.0,-11.7400255203,11.1348752975
2.0,-12.7784872055,12.2699794769,10.0,-12.7784872055,12.2699794769
2.0,-13.8169488907,13.4050836563,10.0,-13.8169488907,13.4050836563
2.0,-14.8554105759,14.5401878357,10.0,-14.8554105759,14.5401878357
2.0,-15.893872261,15.6752920151,10.0,-15.893872261,15.6752920151
-9.73218989527e-16,-15.893872261,15.6752920151,8.0,-15.893872261,15.6752920151
-9.09631550588e-16,-14.8554105759,14.5401878357,8.0,-14.8554105759,14.5401878357
-8.46044111648e-16,-13.8169488907,13.4050836563,8.0,-13.8169488907,13.4050836563
-7.82456672708e-16,-12.7784872055,12.2699794769,8.0,-12.7784872055,12.2699794769
-7.18869233769e-16,-11.7400255203,11.1348752975,8.0,-11.7400255203,11.1348752975
-6.55281794829e-16,-10.7015638351,9.99977111816,8.0,-10.7015638351,9.99977111816
-5.91694414285e-16,-9.66310310364,8.86466693878,8.0,-9.66310310364,8.86466693878
-5.28106975345e-16,-8.62464141846,7.7295627594,8.0,-8.62464141846,7.7295627594
-4.64519536406e-16,-7.58617973328,6.59445858002,8.0,-7.58617973328,6.59445858002
-4.00932097466e-16,-6.5477180481,5.45935440063,8.0,-6.5477180481,5.45935440063
-3.37344658526e-16,-5.50925636292,4.32425022125,8.0,-5.50925636292,4.32425022125
-2.73757248784e-16,-4.47079515457,3.18914580345,8.0,-4.47079515457,3.18914580345
2.0,-16.9323329926,18.3103961945,10.0,-16.9323329926,18.3103961945
2.0,-16.9323329926,19.8103961945,10.0,-16.9323329926,19.8103961945
2.0,-16.9323329926,21.3103961945,10.0,-16.9323329926,21.3103961945
-1.03680637007e-15,-16.9323329926,21.3103961945,8.0,-16.9323329926,21.3103961945
-1.03680637007e-15,-16.9323329926,19.8103961945,8.0,-16.9323329926,19.8103961945
-1.03680637007e-15,-16.9323329926,18.3103961945,8.0,-16.9323329926,18.3103961945
-6.84720415317e-16,-11.1823329926,18.8103961945,8.0,-11.1823329926,18.8103961945
-7.16105890378e-16,-11.694896698,20.047832489,8.0,-11.694896698,20.047832489
-7.91877010242e-16,-12.9323329926,20.5603961945,8.0,-12.9323329926,20.5603961945
-8.67648188501e-16,-14.1697702408,20.047832489,8.0,-14.1697702408,20.047832489
-8.99033605167e-16,-14.6823329926,18.8103961945,8.0,-14.6823329926,18.8103961945
-8.67648188501e-16,-14.1697702408,17.5729598999,8.0,-14.1697702408,17.5729598999
-7.91877010242e-16,-12.9323329926,17.0603961945,8.0,-12.9323329926,17.0603961945
2.0,-12.9323329926,17.0603961945,10.0,-12.9323329926,17.0603961945
